latitude,longitude,Place_Name,Vaccine_Type,Phone,Website,Prescreening_Website,Address,City,Zip,County
40.836688,-81.261003,Giant Eagle Pharmacy #1611 #G00104,Pfizer-BioNTech - Ages 12 years and older,330-875-1135,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,108 West Main Street,Louisville,44641,Stark County
41.315019,-81.656066,Giant Eagle Pharmacy #4088 #G00154,Moderna - Ages 12 years and older,440-526-1584,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,4343 Royalton Rd,Broadview Heights,44147,Cuyahoga County
41.364638,-81.687905,Giant Eagle Pharmacy #6388 #G00190,Moderna - Ages 12 years and older,216-328-8263,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,7400 Broadview Road,Parma,44134,Cuyahoga County
40.019075,-83.013142,Giant Eagle Pharmacy #6512 #G00198,Pfizer-BioNTech - Ages 12 years and older,614-268-3223,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,2801 N. High Street,Columbus,43202,Franklin County
41.488126,-81.769363,"CVS Pharmacy, Inc. #03329",Moderna - Ages 12 years and older,(216) 228-9296,https://www.cvs.com/store-locator/details-directions/003329,https://www.cvs.com/immunizations/covid-19-vaccine,11706 CLIFTON BOULEVARD,LAKEWOOD,44107,Cuyahoga County
41.381967,-81.436535,Giant Eagle Pharmacy #0228 #G00072,Pfizer-BioNTech - Ages 12 years and older,440-519-1028,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,34310 Aurora Road,Solon,44139,Cuyahoga County
41.13537,-81.632149,Giant Eagle Pharmacy #5861 #G00176,Moderna - Ages 12 years and older,330-668-6605,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,3750 W. Market St.,Fairlawn,44333,Summit County
41.397494,-81.997658,Giant Eagle Pharmacy #0199 #G00062,Moderna - Ages 12 years and older,440-327-8085,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,34325 Center Ridge Rd,North Ridgeville,44039,Lorain County
41.26031,-80.832808,Giant Eagle Pharmacy #4056 #G00147,Moderna - Ages 12 years and older,330-395-0505,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,2700 Mahoning Ave. NW,Warren,44483,Trumbull County
41.390005,-81.337363,Giant Eagle Pharmacy #0515 #G00086,Pfizer-BioNTech - Ages 12 years and older,440-708-1277,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,8515 Tanglewood Square,Chagrin Falls,44023,Geauga County
40.051822,-82.86238,Giant Eagle Pharmacy #6501 #G00192,Moderna - Ages 12 years and older,614-939-5280,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,1250 N. Hamilton Rd,Columbus,43230,Franklin County
41.500491,-81.565768,"CVS Pharmacy, Inc. #03634",Moderna - Ages 12 years and older,(216) 932-4808,https://www.cvs.com/store-locator/details-directions/003634,https://www.cvs.com/immunizations/covid-19-vaccine,2160 LEE RD,CLEVELAND HEIGHTS,44118,Cuyahoga County
41.423331,-82.343663,Giant Eagle Pharmacy #1238 #G00089,Moderna - Ages 12 years and older,440-967-1220,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,4453 Liberty Avenue,Vermilion,44089,Lorain County
41.405847,-81.79801,Giant Eagle Pharmacy #0465 #G00078,Pfizer-BioNTech - Ages 12 years and older,216-267-2185,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,14650 Snow Road,Brookpark,44142,Cuyahoga County
41.238137,-81.447585,Acme Pharmacy,Moderna - Ages 12 years and older,(330)650-1608,http://www.acmestores.com,http://gettheshot.coronavirus.ohio.gov,116 W Streetsboro Rd,Hudson,44236,Summit County
41.166481,-80.666851,Giant Eagle Pharmacy #4002 #G00130,Pfizer-BioNTech - Ages 12 years and older,330-759-9348,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,4700 Belmont Avenue,Youngstown,44505,Trumbull County
40.50749,-81.462878,Giant Eagle Pharmacy #4089 #G00155,Moderna - Ages 12 years and older,330-602-8490,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,515 Union Avenue,Dover,44622,Tuscarawas County
41.146601,-81.506842,Giant Eagle Pharmacy #4036 #G00143,Pfizer-BioNTech - Ages 12 years and older,330-928-8844,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,2687 State Road,Cuyahoga Falls,44223,Summit County
41.237457,-81.347998,Giant Eagle Pharmacy #5863 #G00177,Pfizer-BioNTech - Ages 12 years and older,330-626-2407,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,1280 State Route 303,Streetsboro,44241,Portage County
41.403155,-81.694728,Giant Eagle Pharmacy #4009 #G00132,Pfizer-BioNTech - Ages 12 years and older,216-739-4120,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,1825 Snow Road,Parma,44134,Cuyahoga County
41.126146,-81.602149,Giant Eagle Pharmacy #4025 #G00136,Moderna - Ages 12 years and older,330-836-2036,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,2775 West Market Street,Fairlawn,44333,Summit County
40.102237,-83.15625,Giant Eagle Pharmacy #6520 #G00204,Pfizer-BioNTech - Ages 12 years and older,614-717-9424,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,6700 Perimeter Loop,Dublin,43017,Franklin County
41.309474,-81.442068,Giant Eagle Pharmacy #0224 #G00071,Moderna - Ages 12 years and older,330-405-7105,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,8960 Darrow RD,Twinsburg,44087,Summit County
41.636425,-81.475384,Giant Eagle Pharmacy #0216 #G00067,Moderna - Ages 12 years and older,440-944-6963,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,30320 Lake Shore Blvd.,Willowick,44095,Lake County
40.102237,-83.15625,Giant Eagle Pharmacy #6520 #G00204,Moderna - Ages 12 years and older,614-717-9424,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,6700 Perimeter Loop,Dublin,43017,Franklin County
41.493618,-81.986084,Giant Eagle Pharmacy #1284 #G00092,Pfizer-BioNTech - Ages 12 years and older,440-933-9598,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,31990 Walker Road,Avon Lake,44012,Lorain County
41.630377,-81.427748,Giant Eagle Pharmacy #6381 #G00187,Moderna - Ages 12 years and older,440-946-7714,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,36475 Euclid Ave.,Willoughby,44094,Lake County
41.378441,-81.739713,Giant Eagle Pharmacy #5817 #G00171,Pfizer-BioNTech - Ages 12 years and older,440-888-7392,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,7939 Day Drive,Parma,44129,Cuyahoga County
41.706006,-81.266514,Giant Eagle Pharmacy #6377 #G00184,Pfizer-BioNTech - Ages 12 years and older,440-358-7769,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,1201 Mentor Ave.,Painesville,44077,Lake County
41.255323,-80.793387,Giant Eagle Pharmacy #1419 #G00096,Moderna - Ages 12 years and older,330-372-7003,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,2061 Elm Rd,Warren,44483,Trumbull County
40.899722,-80.826879,Giant Eagle Pharmacy #4064 #G00149,Moderna - Ages 12 years and older,330-332-0141,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,2401 East State Street,Salem,44460,Columbiana County
41.46463,-81.091505,Giant Eagle Pharmacy #4133 #G00162,Moderna - Ages 12 years and older,440-632-5587,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,15400 West High St.,Middlefield,44062,Geauga County
41.404227,-81.612242,Giant Eagle Pharmacy #0218 #G00069,Pfizer-BioNTech - Ages 12 years and older,216-662-8466,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,5744 Transportation Blvd,Garfield Heights,44125,Cuyahoga County
39.575503,-84.230267,"CVS Pharmacy, Inc. #06139",Moderna - Ages 12 years and older,(937) 748-1135,https://www.cvs.com/store-locator/details-directions/006139,https://www.cvs.com/immunizations/covid-19-vaccine,710 N. MAIN ST.,SPRINGBORO,45066,Warren County
41.706006,-81.266514,Giant Eagle Pharmacy #6377 #G00184,Moderna - Ages 12 years and older,440-358-7769,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,1201 Mentor Ave.,Painesville,44077,Lake County
41.415232,-82.204838,Giant Eagle Pharmacy #0220 #G00070,Pfizer-BioNTech - Ages 12 years and older,440-282-7651,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,2201 Kresge Drive,Amherst,44001,Lorain County
40.019075,-83.013142,Giant Eagle Pharmacy #6512 #G00198,Moderna - Ages 12 years and older,614-268-3223,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,2801 N. High Street,Columbus,43202,Franklin County
40.034577,-83.133571,Giant Eagle Pharmacy #6531 #G00210,Pfizer-BioNTech - Ages 12 years and older,614-921-8260,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,4001 Britton Parkway,Hilliard,43026,Franklin County
41.26031,-80.832808,Giant Eagle Pharmacy #4056 #G00147,Pfizer-BioNTech - Ages 12 years and older,330-395-0505,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,2700 Mahoning Ave. NW,Warren,44483,Trumbull County
39.986196,-83.027558,Giant Eagle Pharmacy #6539 #G00213,Pfizer-BioNTech - Ages 12 years and older,614-294-2344,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,840 W. 3rd Avenue,Columbus,43212,Franklin County
41.314828,-81.726347,Giant Eagle Pharmacy #0204 #G00064,Moderna - Ages 12 years and older,440-582-6430,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,6000 Royalton Road,North Royalton,44133,Cuyahoga County
41.02621,-80.678882,Giant Eagle Pharmacy #4075 #G00150,Pfizer-BioNTech - Ages 12 years and older,330-726-7142,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,1201 Doral Drive,Boardman,44512,Mahoning County
41.851649,-80.817882,Giant Eagle Pharmacy #1421 #G00097,Pfizer-BioNTech - Ages 12 years and older,440-992-6165,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,2390 Prospect Avenue,Ashtabula,44004,Ashtabula County
40.50749,-81.462878,Giant Eagle Pharmacy #4089 #G00155,Pfizer-BioNTech - Ages 12 years and older,330-602-8490,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,515 Union Avenue,Dover,44622,Tuscarawas County
41.156174,-81.332851,Acme Pharmacy,Moderna - Ages 12 years and older,(330)678-3662,http://www.acmestores.com,http://gettheshot.coronavirus.ohio.gov,1709 St Rt 59,Kent,44240,Portage County
41.521386,-81.452402,Giant Eagle Pharmacy #5836 #G00174,Moderna - Ages 12 years and older,440-449-3940,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,6259 Mayfield Road,Mayfield Heights,44124,Cuyahoga County
40.956833,-81.463945,Acme Pharmacy,Pfizer-BioNTech - Ages 12 years and older,(330)899-0653,http://www.acmestores.com,http://gettheshot.coronavirus.ohio.gov,3875 Massillon Rd,Uniontown,44685,Summit County
41.027548,-81.509408,Giant Eagle Pharmacy #4124 #G00161,Moderna - Ages 12 years and older,330-773-7772,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,484 E. Waterloo Rd.,Akron,44319,Summit County
41.117359,-81.483335,Giant Eagle Pharmacy #5878 #G00178,Pfizer-BioNTech - Ages 12 years and older,330-929-6372,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,230 Howe Road,Cuyahoga Falls,44221,Summit County
41.851649,-80.817882,Giant Eagle Pharmacy #1421 #G00097,Moderna - Ages 12 years and older,440-992-6165,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,2390 Prospect Avenue,Ashtabula,44004,Ashtabula County
39.945476,-82.989298,Giant Eagle Pharmacy #2465 #G00196,Moderna - Ages 12 years and older,614-443-5232,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,1380 S Fourth Street,Columbus,43207,Franklin County
41.376935,-81.787651,Giant Eagle Pharmacy #0217 #G00068,Pfizer-BioNTech - Ages 12 years and older,440-885-3019,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,6869 Southland Drive,Middleburg Heights,44130,Cuyahoga County
41.427792,-82.079355,Giant Eagle Pharmacy #0231 #G00075,Moderna - Ages 12 years and older,440-934-5377,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,5231 Detroit Road,Sheffield Village,44054,Lorain County
41.027548,-81.509408,Giant Eagle Pharmacy #4124 #G00161,Pfizer-BioNTech - Ages 12 years and older,330-773-7772,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,484 E. Waterloo Rd.,Akron,44319,Summit County
41.468918,-81.771695,Giant Eagle Pharmacy #0230 #G00074,Moderna - Ages 12 years and older,216-941-5109,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,3050 W 117TH ST,Cleveland,44111,Cuyahoga County
40.671886,-80.585417,Giant Eagle Pharmacy #1475 #G00099,Pfizer-BioNTech - Ages 12 years and older,330-385-2327,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,15937 State Route 170,East Liverpool,43920,Columbiana County
41.503467,-81.499457,Giant Eagle Pharmacy #0208 #G00065,Moderna - Ages 12 years and older,216-920-3320,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,25105 Cedar Road,Lyndhurst,44124,Cuyahoga County
40.020215,-83.057671,Giant Eagle Pharmacy #6515 #G00201,Moderna - Ages 12 years and older,614-538-0801,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,3061 Kingsdale Center,Columbus,43221,Franklin County
40.899722,-80.826879,Giant Eagle Pharmacy #4064 #G00149,Pfizer-BioNTech - Ages 12 years and older,330-332-0141,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,2401 East State Street,Salem,44460,Columbiana County
41.300662,-81.832582,Giant Eagle Pharmacy #4086 #G00153,Moderna - Ages 12 years and older,440-238-4111,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,15919 Pearl Road,Strongsville,44136,Cuyahoga County
40.875185,-81.434754,Giant Eagle Pharmacy #4060 #G00148,Pfizer-BioNTech - Ages 12 years and older,330-497-1385,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,6493 Strip Avenue NW,North Canton,44720,Stark County
40.160732,-83.09376,Giant Eagle Pharmacy #6527 #G00207,Pfizer-BioNTech - Ages 12 years and older,614-889-8438,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,4000 West Powell Road,Powell,43065,Delaware County
40.640834,-81.442233,Giant Eagle Pharmacy #4016 #G00134,Moderna - Ages 12 years and older,330-874-3723,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,11031 State Route 212 N.E.,Bolivar,44612,Tuscarawas County
41.43174,-81.729983,Giant Eagle Pharmacy #6376 #G00183,Pfizer-BioNTech - Ages 12 years and older,216-739-4125,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,6300 Biddulph Rd.,Brooklyn,44144,Cuyahoga County
40.831283,-81.42669,Acme Pharmacy,Moderna - Ages 12 years and older,(330)478-1821,http://www.acmestores.com,http://gettheshot.coronavirus.ohio.gov,2905 Whipple Ave. N. W.,Canton,44708,Stark County
41.150702,-81.861204,Giant Eagle Pharmacy #5839 #G00175,Moderna - Ages 12 years and older,330-721-8028,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,870 N Court Street,Medina,44256,Medina County
41.032145,-81.426353,Giant Eagle Pharmacy #4029 #G00137,Pfizer-BioNTech - Ages 12 years and older,330-628-6067,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,2801 E. Waterloo Rd.,Akron,44312,Summit County
40.020215,-83.057671,Giant Eagle Pharmacy #6515 #G00201,Pfizer-BioNTech - Ages 12 years and older,614-538-0801,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,3061 Kingsdale Center,Columbus,43221,Franklin County
41.146601,-81.506842,Giant Eagle Pharmacy #4036 #G00143,Moderna - Ages 12 years and older,330-928-8844,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,2687 State Road,Cuyahoga Falls,44223,Summit County
41.237108,-80.743528,Giant Eagle Pharmacy #4051 #G00146,Moderna - Ages 12 years and older,330-856-1324,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,8202 East Market St.,Warren,44484,Trumbull County
41.158839,-81.227787,Giant Eagle Pharmacy #6348 #G00180,Pfizer-BioNTech - Ages 12 years and older,330-297-7366,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,909 East Main Street,Ravenna,44266,Portage County
41.138081,-81.642037,Acme Pharmacy,Moderna - Ages 12 years and older,(330)666-3300,http://www.acmestores.com,http://gettheshot.coronavirus.ohio.gov,3979 Medina Rd.,Akron,44333,Summit County
41.412153000000004,-81.337449,"CVS Pharmacy, Inc. #04804",Moderna - Ages 12 years and older,(440) 543-7475,https://www.cvs.com/store-locator/details-directions/004804,https://www.cvs.com/immunizations/covid-19-vaccine,16801 CHILLICOTHE RD.,CHAGRIN FALLS,44023,Geauga County
41.023465,-80.746905,Giant Eagle Pharmacy #6385 #G00188,Pfizer-BioNTech - Ages 12 years and older,330-286-0012,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,525 East Main St,Canfield,44406,Mahoning County
41.009302,-81.587232,Giant Eagle Pharmacy #4031 #G00139,Moderna - Ages 12 years and older,330-861-0849,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,41 5th Street S.E.,Barberton,44203,Summit County
40.970386,-81.346958,Giant Eagle Pharmacy #1618 #G00105,Moderna - Ages 12 years and older,330-877-0221,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,907 West Maple Street,Hartville,44632,Stark County
40.892874,-81.404895,Acme Pharmacy,Pfizer-BioNTech - Ages 12 years and older,(330)497-0645,http://www.acmestores.com,http://gettheshot.coronavirus.ohio.gov,1474 N Main St,North Canton,44720,Stark County
41.101107,-80.756949,Giant Eagle Pharmacy #4078 #G00152,Moderna - Ages 12 years and older,330-793-9345,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,5220 Mahoning Avenue,Youngstown,44515,Mahoning County
41.636425,-81.475384,Giant Eagle Pharmacy #0216 #G00067,Pfizer-BioNTech - Ages 12 years and older,440-944-6963,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,30320 Lake Shore Blvd.,Willowick,44095,Lake County
40.111367,-82.948559,"CVS Pharmacy, Inc. #03992",Moderna - Ages 12 years and older,(614) 891-9771,https://www.cvs.com/store-locator/details-directions/003992,https://www.cvs.com/immunizations/covid-19-vaccine,620 S. CLEVELAND AVE.,WESTERVILLE,43081,Franklin County
41.024349,-80.592618,Giant Eagle Pharmacy #1478 #G00100,Pfizer-BioNTech - Ages 12 years and older,330-757-4099,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,3130 Center Rd.,Poland,44514,Mahoning County
41.235618,-80.557663,Giant Eagle Pharmacy #1435 #G00098,Moderna - Ages 12 years and older,330-448-6480,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,7229 Warren Sharon Road,Brookfield,44403,Trumbull County
40.795041,-81.476343,Rite Aid #RA102390,Moderna - Ages 12 years and older,330-837-3138,https://www.riteaid.com,https://www.riteaid.com/pharmacy/scheduler,3129 LINCOLN WAY EAST,MASSILLON,44646-3756,Stark County
41.801498,-81.055631,Giant Eagle Pharmacy #4097 #G00159,Moderna - Ages 12 years and older,440-428-6111,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,6556 N. Ridge Road,Madison,44057,Lake County
41.047856,-81.441976,Acme Pharmacy,Pfizer-BioNTech - Ages 12 years and older,(330)733-9995,http://www.acmestores.com,http://gettheshot.coronavirus.ohio.gov,2420 Wedgewood Dr,Akron,44312,Summit County
40.14312,-82.923516,Giant Eagle Pharmacy #6507 #G00195,Moderna - Ages 12 years and older,614-865-0487,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,650 North State Street,Westerville,43082,Delaware County
41.462179,-81.955565000000007,Giant Eagle Pharmacy #1216 #G00087,Pfizer-BioNTech - Ages 12 years and older,440-871-5710,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,30275 Detroit Rd.,Westlake,44145,Cuyahoga County
41.238137,-81.447585,Acme Pharmacy,Pfizer-BioNTech - Ages 12 years and older,(330)650-1608,http://www.acmestores.com,http://gettheshot.coronavirus.ohio.gov,116 W Streetsboro Rd,Hudson,44236,Summit County
41.441105,-81.860524,Giant Eagle Pharmacy #5810 #G00170,Pfizer-BioNTech - Ages 12 years and older,440-356-3677,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,21593 Lorain Road,Fairview Park,44126,Cuyahoga County
41.184263,-80.759374,Giant Eagle Pharmacy #1405 #G00094,Pfizer-BioNTech - Ages 12 years and older,330-652-2158,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,48 Vienna Ave.,Niles,44446,Trumbull County
41.41535,-81.535192,Giant Eagle Pharmacy #6414 #G00191,Pfizer-BioNTech - Ages 12 years and older,216-332-9592,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,5321 Warrensville Road,Maple Heights,44137,Cuyahoga County
41.418851,-81.694107,"CVS Pharmacy, Inc. #03322",Moderna - Ages 12 years and older,(216) 351-2944,https://www.cvs.com/store-locator/details-directions/003322,https://www.cvs.com/immunizations/covid-19-vaccine,2007 BROOKPARK ROAD,CLEVELAND,44109,Cuyahoga County
41.376935,-81.787651,Giant Eagle Pharmacy #0217 #G00068,Moderna - Ages 12 years and older,440-885-3019,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,6869 Southland Drive,Middleburg Heights,44130,Cuyahoga County
41.397494,-81.997658,Giant Eagle Pharmacy #0199 #G00062,Pfizer-BioNTech - Ages 12 years and older,440-327-8085,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,34325 Center Ridge Rd,North Ridgeville,44039,Lorain County
41.315019,-81.656066,Giant Eagle Pharmacy #4088 #G00154,Pfizer-BioNTech - Ages 12 years and older,440-526-1584,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,4343 Royalton Rd,Broadview Heights,44147,Cuyahoga County
41.313198,-81.529315,Giant Eagle Pharmacy #6299 #G00179,Moderna - Ages 12 years and older,330-468-3263,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,290 East Aurora Road,Northfield,44067,Summit County
41.314828,-81.726347,Giant Eagle Pharmacy #0204 #G00064,Pfizer-BioNTech - Ages 12 years and older,440-582-6430,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,6000 Royalton Road,North Royalton,44133,Cuyahoga County
41.465973,-81.505635,Giant Eagle Pharmacy #5830 #G00172,Moderna - Ages 12 years and older,216-831-8080,http://www.gianteagle.com/COVIDvaccine,http://www.gianteagle.com/COVIDvaccine,24601 Chagrin Blvd.,Beachwood,44122,Cuyahoga County
